CODE_COM_INSEE;LIB_COM;DATE_DEB_INSEE;DATE_FIN_INSEE
01198;JOYEUX;01/01/1900;31/12/1999
01198;JOYEUX;01/01/2000;
01199;JUJURIEUX;01/01/1900;31/12/1999
01199;JUJURIEUX;01/01/2000;
01200;LABALME;01/01/1900;31/12/1999
01200;LABALME;01/01/2000;
01202;LAGNIEU;01/01/1900;31/12/1999
01202;LAGNIEU;01/01/2000;
01203;LAIZ;01/01/1900;31/12/1999
01203;LAIZ;01/01/2000;
01204;LALLEYRIAT;01/01/1900;31/12/1999
01204;LALLEYRIAT;01/01/2000;31/12/2015
01204;POIZAT-LALLEYRIAT (LE);01/01/2016;
01205;LANCRANS;01/01/1900;31/12/1999
01205;LANCRANS;01/01/2000;
01206;LANTENAY;01/01/1900;31/12/1999
01206;LANTENAY;01/01/2000;
01207;LAPEYROUSE;01/01/1900;31/12/1999
01207;LAPEYROUSE;01/01/2000;
01208;LAVOURS;01/01/1900;31/12/1999
01208;LAVOURS;01/01/2000;
01209;LEAZ;01/01/1900;31/12/1999
01209;LEAZ;01/01/2000;
01210;LELEX;01/01/1900;31/12/1999
01210;LELEX;01/01/2000;
01211;LENT;01/01/1900;31/12/1999
01211;LENT;01/01/2000;
01212;LESCHEROUX;01/01/1900;31/12/1999
01212;LESCHEROUX;01/01/2000;
01213;LEYMENT;01/01/1900;31/12/1999
01213;LEYMENT;01/01/2000;
01214;LEYSSARD;01/01/1900;31/12/1999
01214;LEYSSARD;01/01/2000;
01215;LHOPITAL;01/01/1900;31/12/1999
01215;LHOPITAL;01/01/2000;
01216;LHUIS;01/01/1900;31/12/1999
01216;LHUIS;01/01/2000;
01218;LOCHIEU;01/01/1900;31/12/1999
01218;LOCHIEU;01/01/2000;
01219;LOMPNAS;01/01/1900;31/12/1999
01219;LOMPNAS;01/01/2000;
01221;LOMPNIEU;01/01/1900;31/12/1999
01221;LOMPNIEU;01/01/2000;
01224;LOYETTES;01/01/1900;31/12/1999
01224;LOYETTES;01/01/2000;
01225;LURCY;01/01/1900;31/12/1999
01225;LURCY;01/01/2000;
01227;MAGNIEU;01/01/1900;31/12/1999
01227;MAGNIEU;01/01/2000;
01228;MAILLAT;01/01/1900;31/12/1999
01228;MAILLAT;01/01/2000;
01229;MALAFRETAZ;01/01/1900;31/12/1999
01229;MALAFRETAZ;01/01/2000;
01230;MANTENAY-MONTLIN;01/01/1900;31/12/1999
01230;MANTENAY-MONTLIN;01/01/2000;
01231;MANZIAT;01/01/1900;31/12/1999
01231;MANZIAT;01/01/2000;
01232;MARBOZ;01/01/1900;31/12/1999
01232;MARBOZ;01/01/2000;
01233;MARCHAMP;01/01/1900;31/12/1999
01233;MARCHAMP;01/01/2000;
01234;MARIGNIEU;01/01/1900;31/12/1999
01234;MARIGNIEU;01/01/2000;
01235;MARLIEUX;01/01/1900;31/12/1999
01235;MARLIEUX;01/01/2000;
01236;MARSONNAS;01/01/1900;31/12/1999
01236;MARSONNAS;01/01/2000;
01237;MARTIGNAT;01/01/1900;31/12/1999
01237;MARTIGNAT;01/01/2000;
01238;MASSIEUX;01/01/1900;31/12/1999
01238;MASSIEUX;01/01/2000;
01239;MASSIGNIEU-DE-RIVES;01/01/1900;31/12/1999
01239;MASSIGNIEU-DE-RIVES;01/01/2000;
01240;MATAFELON-GRANGES;01/01/1900;31/12/1999
01240;MATAFELON-GRANGES;01/01/2000;
01241;MEILLONNAS;01/01/1900;31/12/1999
01241;MEILLONNAS;01/01/2000;
01242;MERIGNAT;01/01/1900;31/12/1999
01242;MERIGNAT;01/01/2000;
01243;MESSIMY;01/01/1900;31/12/1999
01243;MESSIMY;01/01/2000;
01244;MEXIMIEUX;01/01/1900;31/12/1999
01244;MEXIMIEUX;01/01/2000;
01245;BOHAS-MEYRIAT-RIGNAT;01/01/1900;31/12/1999
01245;BOHAS-MEYRIAT-RIGNAT;01/01/2000;
01246;MEZERIAT;01/01/1900;31/12/1999
01246;MEZERIAT;01/01/2000;
01247;MIJOUX;01/01/1900;31/12/1999
01247;MIJOUX;01/01/2000;
01248;MIONNAY;01/01/1900;31/12/1999
01248;MIONNAY;01/01/2000;
01249;MIRIBEL;01/01/1900;31/12/1999
01249;MIRIBEL;01/01/2000;
01250;MISERIEUX;01/01/1900;31/12/1999
01250;MISERIEUX;01/01/2000;
01252;MOGNENEINS;01/01/1900;31/12/1999
01252;MOGNENEINS;01/01/2000;
01253;MOLLON/VILLIEU-LOYES-MOLLI;01/01/1900;31/12/1999
01253;MOLLON/VILLIEU-LOYES-MOLLI;01/01/2000;
01254;MONTAGNAT;01/01/1900;31/12/1999
01254;MONTAGNAT;01/01/2000;
01255;MONTAGNIEU;01/01/1900;31/12/1999
01255;MONTAGNIEU;01/01/2000;
01257;MONTANGES;01/01/1900;31/12/1999
01257;MONTANGES;01/01/2000;
01258;MONTCEAUX;01/01/1900;31/12/1999
01258;MONTCEAUX;01/01/2000;
01259;MONTCET;01/01/1900;31/12/1999
01259;MONTCET;01/01/2000;
01260;MONTELLIER;01/01/1900;31/12/1999
01260;MONTELLIER;01/01/2000;
01261;MONTHIEUX;01/01/1900;31/12/1999
01261;MONTHIEUX;01/01/2000;
01262;MONTLUEL;01/01/1900;31/12/1999
01262;MONTLUEL;01/01/2000;
01263;MONTMERLE-SUR-SAONE;01/01/1900;31/12/1999
01263;MONTMERLE-SUR-SAONE;01/01/2000;
01264;MONTRACOL;01/01/1900;31/12/1999
01264;MONTRACOL;01/01/2000;
01265;MONTREAL-LA-CLUSE;01/01/1900;31/12/1999
01265;MONTREAL-LA-CLUSE;01/01/2000;
01266;MONTREVEL-EN-BRESSE;01/01/1900;31/12/1999
01266;MONTREVEL-EN-BRESSE;01/01/2000;
01267;NURIEUX-VOLOGNAT;01/01/1900;31/12/1999
01267;NURIEUX-VOLOGNAT;01/01/2000;
01268;MURS-ET-GELIGNIEUX;01/01/1900;31/12/1999
01268;MURS-ET-GELIGNIEUX;01/01/2000;
01269;NANTUA;01/01/1900;31/12/1999
01269;NANTUA;01/01/2000;
01271;NATTAGES;01/01/1900;31/12/1999
01271;NATTAGES;01/01/2000;31/12/2006
01271;NATTAGES;01/01/2007;31/12/2015
01272;NEUVILLE-LES-DAMES;01/01/1900;31/12/1999
01272;NEUVILLE-LES-DAMES;01/01/2000;
01273;NEUVILLE-SUR-AIN;01/01/1900;31/12/1999
01273;NEUVILLE-SUR-AIN;01/01/2000;
01274;NEYROLLES;01/01/1900;31/12/1999
01274;NEYROLLES;01/01/2000;
01275;NEYRON;01/01/1900;31/12/1999
01275;NEYRON;01/01/2000;
01276;NIEVROZ;01/01/1900;31/12/1999
01276;NIEVROZ;01/01/2000;
01277;NIVOLLET-MONTGRIFFON;01/01/1900;31/12/1999
01277;NIVOLLET-MONTGRIFFON;01/01/2000;
01279;ONCIEU;01/01/1900;31/12/1999
01279;ONCIEU;01/01/2000;
01280;ORDONNAZ;01/01/1900;31/12/1999
01280;ORDONNAZ;01/01/2000;
01281;ORNEX;01/01/1900;31/12/1999
01281;ORNEX;01/01/2000;
01282;OUTRIAZ;01/01/1900;31/12/1999
01282;OUTRIAZ;01/01/2000;
01283;OYONNAX;01/01/1900;31/12/1999
01283;OYONNAX;01/01/2000;
01284;OZAN;01/01/1900;31/12/1999
01284;OZAN;01/01/2000;
01285;PARCIEUX;01/01/1900;31/12/1999
01285;PARCIEUX;01/01/2000;
01286;PARVES;01/01/1900;31/12/1999
01286;PARVES;01/01/2000;31/12/2006
01286;PARVES;01/01/2007;31/12/2015
01286;PARVES ET NATTAGES;01/01/2016;
01288;PERON;01/01/1900;31/12/1999
01288;PERON;01/01/2000;
01289;PERONNAS;01/01/1900;31/12/1999
01289;PERONNAS;01/01/2000;
01290;PEROUGES;01/01/1900;31/12/1999
01290;PEROUGES;01/01/2000;
01291;PERREX;01/01/1900;31/12/1999
01291;PERREX;01/01/2000;
01292;PETIT-ABERGEMENT;01/01/1900;31/12/1999
01292;PETIT-ABERGEMENT;01/01/2000;31/12/2015
01293;PEYRIAT;01/01/1900;31/12/1999
01293;PEYRIAT;01/01/2000;
01294;PEYRIEU;01/01/1900;31/12/1999
01294;PEYRIEU;01/01/2000;
01295;PEYZIEUX-SUR-SAONE;01/01/1900;31/12/1999
01295;PEYZIEUX-SUR-SAONE;01/01/2000;
01296;PIRAJOUX;01/01/1900;31/12/1999
01296;PIRAJOUX;01/01/2000;
01297;PIZAY;01/01/1900;31/12/1999
01297;PIZAY;01/01/2000;
01298;PLAGNE;01/01/1900;31/12/1999
01298;PLAGNE;01/01/2000;
01299;PLANTAY;01/01/1900;31/12/1999
01299;PLANTAY;01/01/2000;
01300;POIZAT;01/01/1900;31/12/1999
01300;POIZAT;01/01/2000;31/12/2015
01301;POLLIAT;01/01/1900;31/12/1999
01301;POLLIAT;01/01/2000;
01302;POLLIEU;01/01/1900;31/12/1999
01302;POLLIEU;01/01/2000;
01303;PONCIN;01/01/1900;31/12/1999
01303;PONCIN;01/01/2000;
01304;PONT-D'AIN;01/01/1900;31/12/1999
01304;PONT-D'AIN;01/01/2000;
01305;PONT-DE-VAUX;01/01/1900;31/12/1999
01305;PONT-DE-VAUX;01/01/2000;
01306;PONT-DE-VEYLE;01/01/1900;31/12/1999
01306;PONT-DE-VEYLE;01/01/2000;
01307;PORT;01/01/1900;31/12/1999
01307;PORT;01/01/2000;
01308;POUGNY;01/01/1900;31/12/1999
