REFERENCE_PE,NOM,CODE_SAFIR,TYPE_SITE,REGION,LIBELLE_REGION,COMPLEMENT_ADRESSE,DC_COMPLEMENTADRSITEPHYSIQUE,ADRESSE,CODE_POSTAL,COMMUNE,DN_LATITUDE,DN_LONGITUDE
PDL0037006047,Montval sur Loir,72005,ALE,52,PAYS DE LA LOIRE,MONTVAL,Chat DU LOIR 19 rue du mont sur loir,ZI de Mont sur Loir,72500,MONTVAL SUR LOIR,"47,686584","0,428923"
PDL0041005547,LA FLECHE,72020,ALE,52,PAYS DE LA LOIRE,NULL,NULL,3 rue Irène Joliot Curie,72200,LA FLECHE,"47,706743","-0,097632"
PDL0031005983,Le Mans Ouest,72022,ALE,52,PAYS DE LA LOIRE,NULL,NULL,2 avenue Georges Auric,72000,LE MANS,"48,015516","0,151963"
PDL0042005861,La Ferté Bernard,72035,ALE,52,PAYS DE LA LOIRE,NULL,NULL,57 avenue du Général De Gaulle,72400,LA FERTE BERNARD,"48,17794","0,653482"
PDL0043005789,Sablé sur Sarthe,72043,ALE,52,PAYS DE LA LOIRE,NULL,NULL,7 rue de La Martinière,72300,SABLE SUR SARTHE,"47,839459","-0,312381"
PDL0044005788,Mamers,72051,ALE,52,PAYS DE LA LOIRE,NULL,NULL,102 B rue Ledru Rollin,72600,MAMERS,"48,346842","0,37092"
PDL0038005773,Le Mans Sablons,72115,ALE,52,PAYS DE LA LOIRE,NULL,NULL,"20, rue de corse",72100,LE MANS,"47,996219","0,233632"
PDL0039005678,Le Mans Gare,72123,ALE,52,PAYS DE LA LOIRE,NULL,Zone Novaxud,18-20 Rue Pierre Félix Delarue,72100,LE MANS,"47,994421","0,186444"
PDL0023005678,Le Mans Gare,72203,DDA,52,PAYS DE LA LOIRE,NULL,Zone Novaxud,18-20 Rue Pierre Félix Delarue,72100,LE MANS,"47,994421","0,186444"
ARA0203003854,MONTMELIAN,73000,ALE,84,AUVERGNE-RHONE-ALPES,NULL,NULL,363 AVENUE DE LA GARE,73800,MONTMELIAN,"45,501829","6,050655"
ARA0209006069,MOUTIERS,73002,ALE,84,AUVERGNE-RHONE-ALPES,NULL,NULL,11 Rue des Casernes,73600,MOUTIERS,"45,486067","6,533558"
ARA0201004079,CHAMBERY MUDRY,73011,ALE,84,AUVERGNE-RHONE-ALPES,NULL,NULL,85 rue Auguste Mudry,73000,CHAMBERY,"45,5689","5,933652"
ARA0204006056,CHAMBERY GRAND VERGER,73014,ALE,84,AUVERGNE-RHONE-ALPES,NULL,ZAC GRAND VERGER,272 Rue François Guise,73000,CHAMBERY,"45,575923","5,908583"
ARA0207005541,AIX LES BAINS WILSON,73022,ALE,84,AUVERGNE-RHONE-ALPES,NULL,NULL,128 boulevard du Président Wilson,73100,AIX LES BAINS,"45,688978","5,909681"
ARA0208005903,ALBERTVILLE,73030,ALE,84,AUVERGNE-RHONE-ALPES,NULL,NULL,11 avenue des Chasseurs Alpins,73200,ALBERTVILLE,"45,67021","6,39131"
